index,name,place_id,lat,lng,city,state,grade,usa,iac,hm,tsa,nfo,vehicles,phone,fax,account,email,phone2,notes,contact
1,Alaska Courier Express,,0,0,Anchorage,AK,3,0,0,0,0,0,n,(907) 333-3494,,,alaskacourier@acsalaska.net,c: 907-242-2574,,Jen
2,Arctic Courier,,0,0,Fairbanks,AK,3,0,0,0,0,0,n,(907) 457-3595,(907) 457-3275,,,,"646 Rohloff St, 99712",Dan
3,Homer Expediters,,59.6379267,-151.5161419,Homer,AK,3,0,0,0,0,0,n,(907) 235-5244,,,,,,
4,Safe Response Education LLC,,0,0,Ketchikan,AK,3,0,0,1,0,0,n,(907) 225-5974,(907) 247-9613,,itgooch@firehousezone.com,,,John
5,Errands 4 U,,33.6598257,-85.8316318,Aniston,AL,3,0,0,0,0,0,n,(256) 238-6304,(256) 591-8773,,,c: 256-591-8773,,Phyllis Garrett
6,Express Courier,,0,0,Birmingham,AL,4,0,1,0,0,0,n,(205) 251-9518,(205) 251-8962,#81050,BirminghamEmployees@expressdelivers.net,,,
7,National Courier,,0,0,Birmingham,AL,3,0,0,0,0,0,n,(256) 301-0502,(256) 301-0504,,chuck@natlcourier.com,,hotshotpickup.com,
8,"Hackbarth Delivery Service, Inc",,0,0,Birmingham ,AL,3,0,0,0,0,0,n,(205) 942-1401,(205) 941-1472,,,,,Marc
9,Pace Runners Inc.,,33.344,-86.9211689,Birmingham ,AL,3,0,0,0,0,0,n,(205) 621-9013,(205) 621-9015,,info@pacerunners.com,,$$$ GET QUOTE,Kurt
10,Lenny's Courier Service,,0,0,Boaz,AL,3,0,0,0,0,0,n,(256) 393-8976,,,,c: 256-393-4873,,
11,Seanet Couriers,,0,0,Dothan,AL,3,0,0,0,0,0,n,(334) 984-2139,,,seanetcouriers@gmail.com,Kay: 334-648-1096,,Aleigha
12,Just Task Me,,0,0,Fayette,AL,3,0,0,0,0,0,n,(205) 932-4227,,,sporter0828@gmail.com,,,
13,Bernard Hohmann,,0,0,Headland,AL,3,0,0,0,0,0,n,(334) 693-2388,,,,,,Bernard
14,Conard Atchley,,0,0,Huntsville,AL,3,6270,0,0,0,0,n,(256) 479-4012,,,conardg@knology.net,,air evac,
15,Express Courier,,0,0,Huntsville,AL,4,0,1,0,0,0,n,(256) 461-0069,(256) 461-0081,,,,,
16,Nick Arch,,0,0,Huntsville,AL,3,6271,0,0,0,0,"c,t",(256) 541-6061,,,,,air evac,
17,Professional Carriers of the South,,0,0,Huntsville,AL,4,0,0,0,0,0,n,(256) 851-7241,(256) 851-7587,,,,,Dinae
18,Express Courier,,0,0,Mobile,AL,3,0,0,0,0,0,n,(251) 476-1770,(251) 450-1606,,,,,
19,Gulf Coast Courier,,0,0,Mobile,AL,3,0,0,0,0,0,n,(251) 653-4880,,,,,,
20,Gulf States Delivery,,0,0,Mobile,AL,3,0,0,0,0,0,n,(251) 479-1200,(251) 479-1204,,,,,Bill Marler
21,Idalisha Nicols,,0,0,Mobile,AL,4,0,0,0,0,0,n,(251) 643-2333,(251) 450-1481,,,,,
22,No baycity-double time-yellow cab,,0,0,Mobile,AL,1,0,0,0,0,0,n,,,,,,,
23,Quick Delivery Service,,0,0,Mobile,AL,2,0,0,0,0,0,n,(251) 471-5369,(251) 479-9410,,,,$$$$,Jason
24,Roadrunner Express Delivery,,0,0,Mobile,AL,3,0,0,0,0,0,n,(334) 239-9684,(334) 356-9436,,,,,
25,Express Courier,,0,0,Montgomery,AL,3,0,0,0,0,0,n,(334) 260-6594,(334) 244-4135,#82023,,,,
26,Rebecca Updegraff,,0,0,Montgomery,AL,5,6218,0,0,0,0,n,(719) 685-6725,,,,,,
27,Roadrunner Express Delivery,,32.3853645,-86.1610874,Montgomery,AL,4,0,0,0,0,0,n,(334) 409-9203,(334) 356-9436,,,,,
28,A&E,,0,0,Opelika,AL,3,0,0,0,0,0,n,(334) 703-3520,(334) 749-1936,,,334-742-9251,fka Auburn Opelika,
29,Shebella Consulting,,0,0,Ozark,AL,3,0,0,0,0,0,n,(334) 693-2388,(334) 693-0695,,hohmannbt@earthlink.net,c: 334-805-0848,,Bernhard
30,Port City Cab,,0,0,Pascagoula,AL,3,0,0,0,0,0,n,(228) 712-2022,,,,,,
31,Pace Runners,,0,0,Pelham,AL,3,0,0,0,0,0,n,(205) 621-9013,,,,,,
32,City Courier,,0,0,Phenix City,AL,1,0,0,0,0,0,n,(334) 448-8660,(334) 448-1654,,,,,Kathy
33,Lenny's Courier Service,,0,0,Rainbow City,AL,3,0,0,0,0,0,n,(256) 538-7314,,,,c: 256-393-4873,,
34,Hackbarth,,0,0,Tuscaloosa,AL,3,0,0,0,0,0,n,(800) 277-3322,,,,,,
35,Pak Mail,,0,0,Tuscaloosa,AL,2,0,0,0,0,0,n,(205) 345-6245,,,pakmail23@hotmail.com,,$$$$$ min $100,
36,Just Task Me,,0,0,Winfield,AL,3,0,0,0,0,0,n,(205) 932-4227,,,sporter0828@gmail.com,,,
37,NWA,,36.3728538,-94.2088172,Bentonville,AR,4,0,0,0,0,0,n,(479) 236-5578,,,,,XNA airport,
38,Safe Route car services,,36.0811699,-94.1789744,Fayetteville,AR,3,0,0,0,0,0,n,(479) 289-5151,,,,,,Ary
39,Airport Delivery,,0,0,Fort Smith,AR,3,0,0,0,0,0,n,(479) 782-0077,,,,,,
40,Express Courier,,0,0,Fort Smith,AR,3,0,0,0,0,0,n,(479) 242-2161,,,,,,
41,Razorback Cab,,0,0,Fort Smith,AR,4,0,0,0,0,0,n,(479) 783-1118,,,,,,
42,Zipp Delivery,,0,0,Fort Smith,AR,3,0,0,0,0,0,n,(479) 751-4323,(479) 750-3963,,,,$$$,Sonna
43,Paul Russell,,0,0,Gentry,AR,3,0,0,0,0,0,v,(901) 490-4867,,,,,,
44,Doug Willis,,0,0,Hot Springs,AR,5,6049,0,0,0,0,n,(501) 984-3670,,,,501-984-3670,,
45,Hot Springs Taxi,,0,0,Hot Springs,AR,5,0,0,0,0,0,n,(501) 624-9494,,,,,,
46,Ark Express Courier,,0,0,Jonesboro,AR,4,0,0,0,0,0,n,(870) 919-5377,,,JSHARP288@gmail.com,,,Jason
47,Dukes Hot Shot Delivery,,0,0,Jonesboro,AR,2,0,0,0,0,0,n,(870) 243-2015,,,dukeshotshot@suddenlink.net,,$$$,
48,America's Best Courier,,0,0,Little Rock,AR,4,0,0,0,0,0,n,(501) 414-7730,(501) 847-3820,#USA9476,mark@arkansasbestcouriers.com,,Airport+long,
49,Goldstar Courier,,0,0,Little Rock,AR,3,0,0,0,0,0,"c,t,v",(501) 568-1099,,,,,,
50,Parrish Courier,,0,0,Little Rock,AR,3,0,0,0,0,0,n,(501) 372-4817,(501) 372-4961,,,,,Lori-Robert
51,Parrish Delivery Services,,0,0,North Little Rock,AR,5,0,0,0,0,0,n,(501) 372-4806,(501) 372-4961,,,a: 501-373-7231,,Gary 
52,Errands on demand,,0,0,Springdale,AR,3,0,0,0,0,0,n,(479) 957-0639,,,leslieroberts9910@gmail.com,,,Ivy
53,Zipp Delivery,,0,0,Springdale,AR,3,0,0,0,0,0,n,(479) 751-4323,(479) 750-3963,,,,$$$,Sonna
54,A&T Delivery,,0,0,Texarkana,AR,3,0,0,0,0,0,n,(870) 774-2886,,,,,,
55,Bulhead City Taxi,,0,0,Bullhead City,AZ,3,0,0,0,0,0,n,(928) 754-8294,,,,928-754-7433,,
56,Elite Delivery,,0,0,Bullhead City,AZ,3,0,0,0,0,0,n,(928) 727-4961,(928) 681-4962,,moms_express@hotmail.com,,,Jay Park
57,Road Runner,,0,0,Bullhead City,AZ,2,0,0,0,0,0,n,(928) 854-9333,,,,928-565-3331,$$$$,
58,Short Delivery,,0,0,Bullhead City,AZ,3,0,0,0,0,0,n,(720) 541-0875,,,,,,
59,Rapid Courier,,0,0,Casa Grande,AZ,5,0,0,0,0,0,n,(520) 280-2150,(520) 466-8128,,,c: 520-280-2150,Arizona City,Jerry
60,Service West,,0,0,Chandler,AZ,3,0,0,0,0,0,n,(408) 668-6427,(480) 464-5723,,,,Flagstaff & Tucson daily,Martin
61,Yarapai Courier,,0,0,Chino Valley,AZ,3,0,0,0,0,0,n,(928) 443-6460,,,,,,
62,Northern Arizona Courier,,0,0,Flagstaff,AZ,3,0,0,0,0,0,"c,t",(928) 526-7717,(928) 526-7716,,,c: 928-699-7030,,
63,Statewide Express,,0,0,Flagstaff,AZ,3,0,0,0,0,0,n,(928) 522-6666,(928) 522-6670,,,,,
64,Elite Delivery,,0,0,Kingman,AZ,3,0,0,0,0,0,n,(928) 727-4961,(928) 681-4962,,,,,Jay Park
65,Statewide Express,,0,0,Kingman,AZ,3,0,0,0,0,0,n,(928) 692-1222,(928) 692-1244,,,a: 928-444-6500,,
66,Accountable Courier,,0,0,Lake Havasu,AZ,3,0,0,0,0,0,n,(928) 208-3727,(928) 453-0817,,accountablecourier@yahoo.com,,good rates,Jason
67,Statewide Express,,0,0,Lake Havasu,AZ,3,0,0,0,0,0,n,(928) 680-1222,(928) 680-3680,,,a: 928-276-6236,,Robin
68,"First Delivery Service, Inc.",,0,0,Mesa,AZ,3,0,0,0,0,0,n,(480) 345-0028,(480) 820-3372,,,,,David
69,Statewide Express,,0,0,Navapache,AZ,3,0,0,0,0,0,n,(928) 522-6666,(928) 522-6670,,,,,
70,Care Free Courier,,0,0,Phoenix,AZ,3,0,0,1,0,0,n,(480) 699-4983,(480) 699-8328,,,,,Doug
71,Crossroad Couriers,,0,0,Phoenix,AZ,3,0,0,0,0,0,n,,,#12842,phx@crossroadscourier.com,,,
72,EJ Trucking,,0,0,Phoenix,AZ,3,0,0,0,0,0,t,(480) 288-2940,(480) 288-4498,,,,,Em
73,IntelliQuick Delivery,,0,0,Phoenix,AZ,3,0,0,0,0,0,n,(602) 224-0033,(602) 323-4097,,,,,Keith
74,Israel Ortiz,,0,0,Phoenix,AZ,3,6315,0,0,0,0,n,(480) 387-3883,,,,,after 12pm,
75,Quick Silver,,0,0,Phoenix,AZ,5,0,0,0,0,0,n,(602) 272-7200,(602) 272-7202,#US9999,,John (sales): 602-533-8812,,John
76,S&S,,0,0,Phoenix,AZ,1,0,0,0,0,0,n,(602) 820-3022,(623) 322-5195,,,,,
77,Yavapai Courier,,0,0,Prescott Valley,AZ,3,0,0,0,0,0,n,(928) 848-8848,,,,,,
78,Sprint Express,,0,0,Rimrock,AZ,3,0,0,0,0,0,n,(928) 634-9314,,,,,,Aaron
79,Gila Valley Taxi,,0,0,Safford,AZ,3,0,0,0,0,0,n,(928) 322-3828,,,bighomer@email.arizona.edu,,175-genoptix,Eric
80,Aloha Courier,,0,0,Scottsdale,AZ,3,0,0,0,0,0,n,(480) 281-1521,,,,,,
81,B2B Courier,,0,0,Sierra Vista,AZ,3,0,0,0,0,0,n,(520) 455-5977,,,b2bcourier@aol.com,800-308-7771,,
82,Apex-Arizona Parcel Express,,0,0,Tempe,AZ,5,0,1,0,0,0,n,(480) 921-1717,(480) 921-3434,,,c: 480-677-5035,good for airport,Tony
83,Calypso Couriers,,0,0,Tempe,AZ,5,0,0,0,0,0,n,(480) 317-0800,(480) 446-9874,,ed@calypsocouriers.com,,"1628 E SOUTHERN AVE #9-210, TEMPE AZ 85282",Ed
84,Service West Delivery,,0,0,Tempe,AZ,3,0,0,0,0,0,n,(501) 372-4820,,,,,,Tom Hunt
85,Bradley Huff,,0,0,Tucson,AZ,3,0,0,0,0,0,n,(520) 250-0328,(520) 829-6862,,,,,Bradley
86,Corridor Courier,,0,0,Tucson,AZ,5,0,0,0,0,0,n,(520) 889-9903,(520) 573-9966,,,c: 520-861-2082,,Joe
87,DLR Transportation,,0,0,Tucson,AZ,3,0,0,0,0,0,n,(520) 861-2082,(520) 573-9966,,joedelarosa54@aol.com,,,
88,IntelliQuick Delivery,,0,0,Tucson,AZ,3,0,0,0,0,0,n,(520) 884-0033,(520) 884-4906,#73530,,,,Keith
89,Midco,,0,0,Yuma,AZ,3,0,0,0,0,0,n,(928) 782-7817,,,,,,
90,Statewide Express,,0,0,Yuma,AZ,3,0,0,0,0,0,n,(928) 783-6236,(928) 783-6293,,,a: 928-257-2602,,
91,Eddie Van Sloughton,,0,0,Apple Valley,CA,3,0,0,0,0,0,n,(760) 946-3376,,,,c: 760-684-7309,(Barstow $100),Eddie
92,Arcata McKinleyville Yellow cab,,0,0,Arcata,CA,3,0,0,0,0,0,n,(707) 445-4907,(707) 442-5903,,,,,Tami
93,Perry's Parcel & Courier Service,,0,0,Atascadero,CA,3,0,0,0,0,0,n,(805) 434-1027,(805) 466-7719,,,,,
94,ABC Delivery,,0,0,Bakersfield,CA,3,0,0,0,0,0,n,(661) 869-2223,,,,,,
95,ASAP,,0,0,Bakersfield,CA,2,0,0,0,0,0,n,(661) 631-2727,(661) 633-2727,,,,$$$,
96,Express Delivery,,31.7675301,-106.4218909,Bakersfield,CA,3,0,0,0,0,0,n,(661) 391-8695,(661) 679-1130,,,,good for airport,
97,Peninsula Courier,,0,0,Bakersfield,CA,5,0,0,0,0,0,n,(661) 325-0246,(661) 861-1721,,,,,Tiffany
98,Urgent Express,,0,0,Bakersfield,CA,3,0,0,0,0,0,n,(661) 634-9230,,,,,,
99,On Trac,,0,0,Benicia,CA,3,0,0,0,0,0,n,(707) 745-2466,,,,Cindy: x6706,,
100,Express Connection,,0,0,Beverly Hills,CA,3,0,0,0,0,0,n,(888) 263-7736,,,,,,
101,Express Group,,0,0,Beverly Hills,CA,5,0,0,0,0,0,n,(310) 478-8000,(310) 470-4564,,,,,
102,Dynamics,,0,0,Burbank,CA,4,0,0,0,0,0,n,(818) 598-8700,,,,a: 818-266-2344,,Brian
103,Capo Courier,,0,0,Carlsbad,CA,3,0,0,0,0,0,n,(949) 370-5024,(949) 661-8125,,,,,Robert
104,Greenwalt Delivery Service,,0,0,Carlsbad,CA,5,0,1,0,0,0,n,(760) 696-6356,(760) 496-0403,,sales@greenwaltdelivery.com,800-206-7450,,
105,Central Coast Cab,,0,0,Carmel,CA,3,0,0,0,0,0,n,(831) 624-3885,,,,,,
106,Extra Express,,0,0,Cerritos,CA,3,0,0,0,0,0,n,(888) 640-2244,(562) 633-1847,#83230,,,Los Angeles,Bill
107,Lightspeed-Yellow Transport ,,0,0,Chico,CA,3,0,0,0,0,0,n,(530) 624-1776,(530) 345-8029,,,,,Miks Isham
108,DEC Express,,0,0,Chula Vista,CA,3,0,0,0,0,0,n,(619) 528-1553,,,,,,
109,Contract Services,,0,0,Clovis,CA,3,0,0,0,0,0,v,(559) 250-9210,(559) 298-5789,,pwoods@ccast.com,,$2-mi,Pete Woods
110,Berreth Medical Supply,,0,0,Delano,CA,3,0,0,0,0,0,"t,v",(661) 725-7438,(661) 725-7438,,,,,Ed
111,Dillon's Courier,,0,0,El Centro,CA,1,0,0,0,0,0,n,(760) 353-0881,(760) 337-9111,,,,"$$$, crazy",
112,New vectors Aviation,,0,0,Escondido,CA,3,0,0,0,0,0,a,(858) 335-0450,(760) 737-3191,,,,s calif charter,
113,Arcata McKinleyville Yellow cab,,0,0,Eureka,CA,3,0,0,0,0,0,n,(707) 445-4907,(707) 442-5903,,,,,Tami
114,Big Foot Transportation,,0,0,Eureka,CA,3,0,0,0,0,0,n,(707) 839-3932,,,,,,
115,Overnight Carrier,,0,0,Fontana,CA,3,0,0,0,0,0,t,(909) 822-2090,(909) 822-2099,,,,,
116,We Will Deliver,,0,0,Fremont,CA,3,0,0,0,0,0,n,(510) 713-7765,,,,,,Heather
117,American Express Delivery,,0,0,Fresno,CA,3,0,0,0,0,0,n,(559) 226-4000,(559) 299-8240,,,,$$$,
118,ASAP Executive Courier,,0,0,Fresno,CA,5,0,0,0,0,0,n,(559) 346-1234,(559) 346-0566,,david@asapcalifornia.com,,,Meeghan
119,Right Now Courier,,0,0,Fresno,CA,3,0,0,0,0,0,n,(559) 222-7202,(559) 448-8702,,barbara@thequickest.com,,Not for Genoptics,Barbara
120,San Jaquine Courier,,0,0,Fresno,CA,3,0,0,0,0,0,n,(800) 515-6100,,,,,Not for Genoptics,
121,24-7,,0,0,Glendale,CA,3,0,0,0,0,0,n,(818) 843-1954,(818) 392-7525,,,,,Richard
122,Priority Parcels Inc,,0,0,Hawthorne,CA,3,0,0,0,0,0,n,(310) 978-1507,(310) 978-1555,,support@priorityparcels.com,,$35 min-$2.50-mi,Gus Stewart
123,Shotgun Delivery,,0,0,Hayward,CA,5,0,0,0,0,0,n,(800) 833-5656,(888) 959-9985,,greg@shotgun.com,,,
124,Sunny Express,,0,0,Hayward,CA,3,0,0,0,0,0,n,(510) 576-2000,(510) 264-3989,#76961,,,Rush 1.75-mi,Matt
125,24-7,,0,0,Hollywood,CA,3,0,0,0,0,0,n,(818) 843-1954,,#2008,,,,
126,Mercury Courier-Ranger Messenger,,0,0,Indio,CA,3,0,0,0,0,0,n,(877) 620-6277,(877) 620-6277,,,,,Simone
127,GC Transport,,0,0,Ione,CA,3,0,0,0,0,0,n,(916) 508-6832,(209) 274-4505,,,,,Gary Carlson
128,Capo Courier,,0,0,Irvine,CA,3,0,0,0,0,0,n,(949) 370-5024,(949) 661-8124,,,,,Robert
129,Cooper Delivery Service,,0,0,Irwindale,CA,3,0,0,0,0,0,n,(800) 335-8308,(626) 813-7764,,,,,Anastasia
130,Lashon Curry,,0,0,LA,CA,4,6245,0,0,0,0,n,(323) 944-1177,,,,,after 11 am,
131,West Coast Courier,,0,0,Laguna Beach,CA,3,0,0,0,0,0,n,(949) 367-8050,,,,,,
132,Liberty Express,,0,0,Lancaster,CA,3,0,0,0,0,0,n,(661) 816-1449,(661) 729-2618,,,661-250-0057,,
133,Hamel Express Delivery,,0,0,Lodi,CA,3,0,0,0,0,0,n,(209) 298-3799,,,,,,Richard
134,Michael Hagen,,0,0,Lodi,CA,3,0,0,0,0,0,n,(209) 329-4219,,,,209-333-8034,,
135,Action Messenger Service,,0,0,Los Angeles,CA,3,0,0,0,0,0,n,(800) 474-2587,(323) 654-8889,,,," DBA Peach Inc, actionmessenger.com",
136,American Expediting,,0,0,Los Angeles,CA,3,0,1,0,0,0,n,(323) 777-2467,(818) 736-5892,,,,,
137,Dedicated Xpress,,0,0,Los Angeles,CA,3,0,0,0,0,0,"t,v",(714) 871-5828,,,,,,
138,Extra Express,,0,0,Los Angeles,CA,3,0,0,0,0,0,n,(888) 640-2244,(562) 633-1847,#83230,dcupp@extraexpress.com,,see ffo list,
139,Gandarilla Trucking,,0,0,Los Angeles,CA,3,0,0,0,0,0,t,(213) 305-2505,(213) 748-8678,,,,,
140,Glovalink,,0,0,Los Angeles,CA,3,0,0,0,0,0,t,(562) 802-7101,,,,,,
141,"Jet Delivery, Inc.",,0,0,Los Angeles,CA,3,0,0,0,0,0,n,(213) 747-7477,(213) 747-7001,#SPEPA,,,,Larry 
142,RB Freight,,0,0,Los Angeles,CA,3,0,0,0,0,0,"c,t",(323) 777-0727,(323) 777-0763,,,,,
143,Shotgun Delivery,,0,0,Los Angeles,CA,3,0,0,0,0,0,n,(800) 833-5656,,,,,,
144,Smart Flyer,,0,0,Los Angeles,CA,4,0,0,0,0,0,n,(714) 650-6962,,,,,good for deals,KENNY
145,Southwest Express,,0,0,Los Angeles,CA,5,0,1,0,0,0,n,(949) 474-5038,(949) 474-5080,,,,not weekend or after4 pm,
146,Tigran Martirosyan,,0,0,Los Angeles,CA,3,0,0,0,0,0,n,(818) 939-7319,(818) 287-8870,,tmartirosyan7012@gmail.com,,,
147,"First Delivery Service, Inc.",,0,0,Manhattan,CA,3,0,0,0,0,0,n,(888) 235-7555,(310) 546-4865,,,,,Robert 
148,Mendocino Limousine,,0,0,Mendocino,CA,3,0,0,0,0,0,n,(707) 964-8294,,,,,,Steven
149,Red Line Courier,,0,0,Mission Hills,CA,3,0,0,0,0,0,n,(818) 898-1164,,,,,LA,
150,Acme Courier Service,,0,0,Mission Viejo,CA,3,0,0,0,0,0,n,(949) 770-5429,(949) 770-0952,,,,,Richard
151,Northcoast Couriers,,0,0,Modesto,CA,3,0,0,0,0,0,n,(209) 858-1271,(209) 858-1145,,,,,
152,Same Day Express,,0,0,Modesto,CA,3,0,0,0,0,0,n,(209) 522-5448,,,lwilkinson@samedayexpressinc.com,,,
153,Valley Courier Systems,,0,0,Modesto,CA,3,0,0,0,0,0,n,(209) 441-6877,(209) 869-1368,,valleycourier@sbcglobal.net,c: 209-996-4141,$$$,Robert
154,Xpress Delivery Service,,0,0,Modesto,CA,5,0,0,0,0,0,c,(209) 529-7737,,,,,,
155,Central Coast Cab,,0,0,Monterey,CA,3,0,0,0,0,0,n,(831) 624-3885,(831) 646-8222,,,Michael: 831-915-0066,,
156,Kal West Courier,,0,0,Monterey,CA,3,0,0,0,0,0,n,(831) 595-6463,(831) 384-6840,,,831-384-7400,,
157,New Era Couriers,,0,0,Newport beach,CA,3,0,0,0,0,0,n,(949) 721-1298,(949) 721-5847,,hubingers@sbcglobal.net,,Good rates,Peter
158,Quintero Trucking Corp,,0,0,Oakland,CA,3,0,0,0,0,0,t,(800) 774-2770,(510) 839-2229,,,,,Quintero
159,R&A Trucking,,0,0,Oakland,CA,3,0,0,0,0,0,t,(510) 632-7112,,,,,Flatbeds,Ben-Frank
160,Rapid Express,,0,0,Ontario,CA,3,0,0,0,0,0,n,(909) 923-1000,(909) 930-2628,,,,,
161,Condor Messenger,,0,0,Orange,CA,3,0,0,0,0,0,n,(714) 202-4777,,,,,Good rates,Ron
162,Associated Courier,,0,0,Oxnard,CA,4,0,0,0,0,0,n,(805) 639-0710,(805) 639-0778,,,,,
163,Central Courier,,0,0,Oxnard,CA,2,0,0,0,0,0,n,(805) 654-1145,(805) 654-1274,,,,$$$$,Rick
164,Dynamic Delivery,,0,0,Oxnard,CA,3,0,0,0,0,0,n,(818) 598-8700,(818) 230-0405,,,,,
165,Mercury Courier-Ranger Messenger,,0,0,Palm Desert,CA,3,0,0,0,0,0,n,(877) 620-6277,,,,,,Simone
166,AAA Courier,,0,0,Palm Spring,CA,1,0,0,0,0,0,n,(760) 864-8518,,,,"Bill: 530-401-3566, 760-797-1282",,
167,Coachella Valley Couriers,,0,0,Palm Spring,CA,4,0,0,0,0,0,n,(760) 285-4900,(760) 564-7906,,,,,
168,Petaluma Taxi,,0,0,Petaluma,CA,3,0,0,0,0,0,n,(707) 776-4888,,,,,,
169,Timex Express,,0,0,Petaluma,CA,3,0,0,0,0,0,t,(415) 850-8981,,,,,,
170,Best Delivery,,0,0,Rancho Cucamonga,CA,3,0,0,0,0,0,n,(888) 981-4000,,,,,,
171,Cooper Courier,,0,0,Redding,CA,3,0,0,0,0,0,n,(530) 222-1124,(530) 255-8104,,,530-255-8103,,
172,Yellow Cab,,0,0,Redding,CA,3,0,0,0,0,0,n,(530) 522-1234,,,,Greg: 410-5788,,
173,B&L Delivery,,0,0,Ridgecrest,CA,3,0,0,0,0,0,n,(760) 608-3278,,,,,,
174,Tiney Town,,0,0,Ridgecrest,CA,3,0,0,0,0,0,n,(760) 793-6654,,,,,,
175,Micahel Dubey,,0,0,Rio Linda,CA,4,6301,0,1,0,0,n,(916) 715-0233,,,,,,
176,Ed Ex Delivery,,0,0,Rohnert Park,CA,3,0,0,0,0,0,n,(415) 879-1051,,,edwardugarte@msn.com,,,Edward
177,At your service courier,,0,0,Sacramento,CA,4,0,0,0,0,0,n,(916) 359-0526,,,ayscouriers.jim@gmail.com,,,Jerry
178,Gerald Chambers,,0,0,Sacramento,CA,5,6210,0,0,0,0,n,(916) 835-0066,,,,h: 916-585-9452,,
179,Go-Getters-Delivery,,0,0,Sacramento,CA,3,0,0,0,0,0,n,(916) 372-4646,,,donna@go-getters-delivery.com,,,Donna
180,Hortton Express,,0,0,Sacramento,CA,4,0,0,1,0,0,n,(916) 583-3041,,,,,,
181,Hovhan Express,,0,0,Sacramento,CA,3,0,0,0,0,0,n,(916) 583-3042,,,johnshiboyan1@gmail.com,,$$$$ ,
182,Rush Our Delivery,,0,0,Sacramento,CA,4,0,0,0,0,0,"v,t",(916) 956-2774,(866) 414-4477,,roadrnnr444@gmail.com,,wd#e*iusa Good rates-sprinter,
183,Shotgun Delivery,,0,0,Sacramento,CA,3,0,0,0,0,0,n,(800) 833-5656,,,,,,
184,Sunny Express,,0,0,Sacramento,CA,3,0,0,0,0,0,n,(510) 576-2000,,#76961,,,,
185,World courier Ground,,0,0,Sacramento,CA,3,0,0,0,0,1,n,(916) 422-8000,(916) 422-8310,,,,nfo,
186,Carlton Delivery,,0,0,Salinas,CA,3,0,0,0,0,0,n,(831) 214-1296,(831) 663-6613,,,,,
187,Sunrise Express,,0,0,Salinas,CA,3,0,0,0,0,0,n,(831) 758-3630,(831) 417-5164,,dispatch@sunexco.com,,,Kyle
188,Yisel's Courier,,0,0,Salinas,CA,3,0,0,0,0,0,n,(661) 717-1787,,,,,,
189,Go Green Transportation,,0,0,San Bernardino,CA,5,0,0,0,0,0,n,(909) 222-9436,(909) 363-8460,,nate@ggtcourier.com,, (DL cou),
190,Capo Courier,,0,0,San Clemente,CA,3,0,0,0,0,0,n,(949) 370-5026,(949) 661-8126,,,,18,Robert
191,American Expediting,,0,0,San Diego,CA,3,0,0,0,0,0,n,(858) 564-8047,,,,,,
192,NorthStar Courier,,0,0,San Diego,CA,5,0,1,0,0,0,n,(858) 268-8300,(858) 279-6656,,contactus@northstarcourier.net ,"c: 619-906-6003, 619-906-6002",fka Bullet,Jeff
193,RNC Transport Express,,0,0,San Diego,CA,3,0,0,0,0,0,t,(619) 253-6476,(619) 651-7365,,rcrump02@cox.net,,straight,Robert
194,24 7 Delivery,,0,0,San Francisco,CA,3,0,0,0,0,0,"c,v",(844) 247-3748,(844) 247-0247,,,,good rates,Max
195,Caliexpress,,0,0,San Francisco,CA,3,0,0,0,0,0,n,(510) 887-2950,(510) 887-2980,,,,,Jaun
196,Classical Transportation,,0,0,San Francisco,CA,5,0,0,0,0,0,"t,v",(510) 331-6699,,,dispatch@classicaltransportation.com,,operations@classicaltransportation.com,
197,Delivery Lane Express,,0,0,San Francisco,CA,3,0,0,0,0,0,"t,v",(510) 999-1910,,,dispatch@dlxpress.com,,trailor,Scott
198,Go Courier,,0,0,San Francisco,CA,3,0,0,0,0,0,n,,,,,,,
199,"Godspeed Courier Services, Inc.",,37.7632277,-122.415522,San Francisco,CA,5,0,0,0,0,0,"b,c,v",(415) 626-1904,(415) 626-2235,,godspeed.sf.ca@gmail.com,,,
200,"Jet Delivery, Inc.",,0,0,San Francisco,CA,4,0,0,0,0,0,n,(800) 716-7177,,#SPEPA,,,,
201,Modern Express,,0,0,San Francisco,CA,3,0,0,0,0,0,"c,t,v",(800) 400-7874,,,,,,
202,One Hour Courier,,0,0,San Francisco,CA,3,0,0,0,0,0,n,(925) 947-1100,,,,,,Jerry
203,PC Express,,0,0,San Francisco,CA,3,0,0,0,0,0,t,(510) 887-8777,(510) 887-8776,#5103,,,,
204,Samson Transportation,,0,0,San Francisco,CA,4,0,0,0,0,0,"c,t",(510) 579-1881,,,,,good long,
