index,properties__Name,properties__description,type,lat,lng
1,Alaska Courier Express,,o,,
3,Homer Expediters,,o,59.6379267,-151.5161419
5,Errands 4 U,"Phyllis Garrett, cell 256 591 8773",o,33.6598257,-85.8316318
6,Express Courier,479-242-2161,o,35.37239,-94.425441
9,Pace Runners Inc.,$$$ GET QUOTE<br>info@pacerunners.com,o,33.344,-86.9211689
24,Roadrunner Express Delivery,334-409-9203,p,32.3853645,-86.1610874
37,NWA,479-236-5578<br>XNA airport,p,36.3728538,-94.2088172
38,Safe Route Car Services,479-289-5151,o,36.0811699,-94.1789744
96,Express Delivery,,o,31.7675301,-106.4218909
99,On Trac,800-736-8310<br>Acc # 100670,p,41.2123169,-95.956825
137,American Expediting,Good for long<br>Fax 734-326-4610,p,42.2351903,-83.3167789
137,American Expediting,,p,39.7629601,-104.8502079
137,American Expediting,,p,36.0888155,-115.2116752
137,American Expediting,,p,40.6367516,-75.4605856
137,American Expediting,Acc # 16822,o,42.9142731,-78.7534997
137,American Expediting,,o,30.5081452,-97.6010816
200,"Godspeed Courier Services, Inc.",,p,37.7632277,-122.415522
265,Western Slope Courier,,o,39.0651288,-108.5501266
272,Mountain Town Delivery,,o,40.5088054,-106.8592016
287,Falcon Express,Acc 11448<br>$10 min/1.69mile<br>Contact: Gordon,p,39.0580425,-76.8979695
301,LaserShip,,o,39.3299835,-76.7562871
301,Lasership,,o,37.5818369,-77.4808859
323,Courier Solutions,No fridge,p,32.8370319,-83.6323271
326,Blue Streak Couriers,904-448-8000<br>not good for airport or long<br>jbunker@bluestreakcouriers.com,p,30.2592196,-81.5800595
330,Volusia Process & Courier,,p,29.284527,-81.08831
354,Velox Express,877-835-6946,p,30.3502967,-81.6686964
354,Velox Express,,p,36.089752,-86.701849
354,Velox Express,,p,37.9991136,-84.5281578
371,Courier Connection,courierconnect@aol.com,p,26.6852792,-81.8845664
378,Courier Express,Acc # 5714<br>info@courierexp.com,p,42.145361,-72.533459
406,Stealth Courier,,p,30.4861538,-84.2275914
461,Checker Cab,402-371-8252,p,,
479,Reliable Courier,,o,30.8005754,-83.2730545
501,Capital Express,,o,39.1359022,-94.5140386
501,Capital Express,,o,41.2283584,-96.0172818
569,Mary's Get & Go,,p,41.1038968,-85.0542459
580,JS Logistics,800-814-2634<br>Acc # i424,p,39.7411713,-86.2514681
617,Abco Courier,,o,36.9924546,-86.4437523
618,River Cities Courier,,p,37.9909673,-84.5197203
687,Breakaway,After hours 617-839-7468,p,42.3589691,-71.054184
696,Trans Courier Systems,,o,42.070596,-71.06413
699,CrossTown Courier,,o,35.0638427,-90.0311623
733,Business Link Courier,410-852-4269,p,,
